"mfcc1_mean","mfcc1_sd","mfcc2_mean","mfcc2_sd","mfcc3_mean","mfcc3_sd","mfcc4_mean","mfcc4_sd","mfcc5_mean","mfcc5_sd","mfcc6_mean","mfcc6_sd","mfcc7_mean","mfcc7_sd","mfcc8_mean","mfcc8_sd","mfcc9_mean","mfcc9_sd","mfcc10_mean","mfcc10_sd","mfcc11_mean","mfcc11_sd","mfcc12_mean","mfcc12_sd","mfcc13_mean","mfcc13_sd","tempo","centroid_mean","centroid_sd","rms_mean","rms_sd","harmonic_rms_mean","percussive_rms_mean","perc_harm_ratio","file","day_night","cluster"
-90.96362,58.278202,78.69787,17.55398,-14.95594,15.388122,39.01727,10.852731,6.386478,7.341792,9.752055,7.6448655,-1.2970971,6.80428,4.4868407,6.6638837,0.86979103,6.4233627,5.2636228,6.3224936,-1.6282017,6.158158,5.6506476,6.325552,-0.7062257,6.1994796,135.99917763,2536.76649262417,416.87074530867,0.09946151,0.030237032,0.061333384,0.04888762,0.797067128293847,"DS Waluigi Pinball (Mario Kart DS) (Day) - Mario Kart World (OST).wav","Day","1"
-123.39492,56.476353,92.95145,21.019407,-1.4932011,12.734058,34.25738,8.632688,3.732956,6.733091,11.902826,7.0021496,-0.10712913,6.1846094,3.8109808,6.472101,-1.8297672,6.1388235,2.861674,6.267487,0.92254096,5.826298,5.498421,6.170675,-3.2410514,6.275557,112.34714674,2165.15823581583,554.331706138311,0.09790436,0.021937221,0.079439946,0.029312136,0.368980196046482,"Melty Monster Galaxy (Super Mario Galaxy 2) - Mario Kart World (OST).wav","","1"
-110.94839,45.205788,82.98648,20.756756,-23.469107,21.894583,44.21138,10.543001,8.233717,11.20242,14.754202,7.561757,3.4738262,6.967452,8.981244,6.2858453,3.089883,6.896283,7.1482944,7.2720547,-0.07154195,6.153997,4.869256,6.416547,2.218085,6.154381,117.45383523,2340.12171540305,415.264040752034,0.09477178,0.028471619,0.06932358,0.035288654,0.509035262840658,"Bowser's Theme (Super Mario 64) - Mario Kart World (OST).wav","","3"
-144.51973,79.47225,90.52243,30.586548,-8.022202,17.95301,34.665306,11.502941,4.7767444,10.356004,12.276192,8.564115,-2.8876226,8.37337,6.4693613,7.196923,0.22573553,7.635715,4.00704,6.9440684,-2.4892588,6.722824,2.9366803,7.290731,-2.9644542,6.9069085,112.34714674,2324.6780468098,676.454701111785,0.07315578,0.024438355,0.04934348,0.032467104,0.657968295590859,"Staff Credits (New Super Mario Bros. Wii) - Mario Kart World (OST).wav","","2"
-159.01178,65.5846,97.97879,23.686295,-8.907812,19.662096,33.10557,11.02286,3.7963092,10.4156275,11.556862,7.191041,1.4221172,6.971412,4.2425103,6.8290176,-1.5219892,7.341885,8.660584,7.4728355,-2.9451168,7.6601534,6.962082,7.9924893,2.1725404,7.900487,161.49902344,2016.48689821522,458.32571806604,0.07619832,0.022208884,0.061052892,0.023444751,0.384000927253499,"Dark Hallway (Main Theme) (Luigi's Mansion) -  Mario Kart World (OST).wav","","1"
-125.34531,73.06393,87.42603,25.641012,-12.021858,15.167306,30.117407,10.906582,6.1499705,10.362387,11.665555,8.545997,-0.26543558,9.319607,4.9925675,9.57951,-3.7843988,8.237015,3.9225955,8.043147,-2.3380303,9.066792,3.1689029,9.426347,1.2718384,8.611116,135.99917763,2300.00222407926,593.426562815582,0.09640955,0.03417878,0.07027671,0.038316302,0.545212748297211,"Ending BGM (Super Mario World) - Mario Kart World (OST).wav","","2"
-30.565845,66.097244,94.33459,22.453243,7.541156,19.551638,46.306034,13.099004,1.7101961,9.761157,3.3855999,8.667314,-1.0591843,7.6095614,7.3248706,6.645885,-0.68820125,6.487757,5.0662427,6.470794,-4.077706,6.910852,4.0426316,7.264922,-0.6558977,6.3457265,112.34714674,2065.870140072,505.967348810872,0.27396244,0.062395602,0.19232851,0.11096459,0.576950397686132,"3DS Music Park (Mario Kart 7) - Mario Kart World (OST).wav","","3"
-250.72084,72.12818,145.32066,37.35313,2.1213393,21.658205,19.94931,12.705262,3.94319,11.361878,5.3244605,10.543364,-6.4663367,10.930612,2.4469619,10.952837,-3.1894212,10.118313,1.1208774,9.636192,-5.7684126,8.8704,-1.0143468,10.190391,-6.015504,8.9949665,123.046875,1370.02329014223,588.638445662449,0.05152363,0.015682451,0.04407581,0.01304694,0.296004634392482,"Lake Lamode (Super Mario Odyssey) - Mario Kart World (OST).wav","","4"
-170.02625,81.617256,98.627106,32.126896,7.5902243,26.044922,32.976864,15.980129,9.711682,13.557664,11.29806,10.263687,2.8059309,9.430301,9.275888,8.236795,2.061686,8.421492,7.6488695,8.309144,-1.2802511,7.727631,4.2330194,7.94624,-0.4429406,8.60281,143.5546875,1910.2343993038,737.347515541073,0.11199951,0.04495311,0.08780357,0.03787096,0.431309639182568,"DS Tick Tock Clock (Mario Kart DS) - Mario Kart World (OST).wav","","2"
-122.74983,65.998055,78.64068,19.546103,-2.004388,13.993567,32.698364,10.316053,4.911785,7.612245,11.891567,6.922555,0.05489123,6.52869,5.6995983,6.674392,-1.922122,6.8338656,5.7224646,7.345434,0.21083406,7.4756074,3.0156636,7.5107584,-2.015304,7.448738,123.046875,2476.34791953243,495.591059401268,0.08715874,0.02239541,0.06751019,0.029576667,0.438100227432765,"Wii U Mario Circuit (Mario Kart 8) - Mario Kart World (OST).wav","","1"
